,id,sex,Perimeter,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,Tribe,Genus,Species,sub-species,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,sex-phenotype
134,878,f,5159.2341,1068891.0,1723.2011,1787,-106.6492,900492158458,1069960513089190,1.3828296568733e+18,0.51363,0.55978,0.59681,,,,,,,,,,,,,,
135,878,f,5159.2341,694483.0,1174.152,1161,27.0785,302356774585,249481785721621,2.20598190022473e+17,0.56833,0.61229,0.64663,,,,,,,,,,,,,,
136,899,f,4885.7539,1014277.0,1675.4523,1723,-129.3308,796981270784,918343265558240,1.15208640421337e+18,0.51447,0.56148,0.59917,,,,,,,,,,,,,,
137,899,f,4885.7539,641417.0,1122.8405,1106,31.2735,263171025400,209517047281152,1.78498178627759e+17,0.57915,0.62269,0.6567,,,,,,,,,,,,,,
138,899,f,4969.4107,1014277.0,1675.4523,1723,-129.3308,796981270784,918343265558240,1.15208640421337e+18,0.51447,0.56148,0.59917,,,,,,,,,,,,,,
139,899,f,4969.4107,641417.0,1122.8405,1106,31.2735,263171025400,209517047281152,1.78498178627759e+17,0.57915,0.62269,0.6567,,,,,,,,,,,,,,
140,900,m,4836.7346,1029113.0,1691.2402,1752,-99.9251,845439392416,986691940031478,1.24887036984753e+18,0.51734,0.56282,0.59907,,,,,,,,,,,,,,
141,900,m,4836.7346,679194.0,1112.5477,1103,-34.8546,263173553578,205141992173962,1.71374857065679e+17,0.56435,0.60829,0.64256,,,,,,,,,,,,,,
142,900,m,4751.563,1029113.0,1691.2402,1752,-99.9251,845439392416,986691940031478,1.24887036984753e+18,0.51734,0.56282,0.59907,,,,,,,,,,,,,,
143,900,m,4751.563,679194.0,1112.5477,1103,-34.8546,263173553578,205141992173962,1.71374857065679e+17,0.56435,0.60829,0.64256,,,,,,,,,,,,,,
144,910,m,4898.4229,1045544.0,1721.9239,1744,63.5746,1097419954585,1368009100176350,1.81461306325452e+18,0.58745,0.62715,0.65813,,,,,,,,,,,,,,
145,910,m,4898.4229,713369.0,1143.1772,1133,-23.3335,289466818894,231365320499582,1.98313068784603e+17,0.56223,0.60641,0.64088,,,,,,,,,,,,,,
146,910,m,5005.9377,1045544.0,1721.9239,1744,63.5746,1097419954585,1368009100176350,1.81461306325452e+18,0.58745,0.62715,0.65813,,,,,,,,,,,,,,
147,910,m,5005.9377,713369.0,1143.1772,1133,-23.3335,289466818894,231365320499582,1.98313068784603e+17,0.56223,0.60641,0.64088,,,,,,,,,,,,,,
148,911,f,4891.5529,1062733.0,1748.5802,1812,-99.4741,932195732410,1128203386244060,1.48532810686e+18,0.51687,0.56298,0.60006,,,,,,,,,,,,,,
149,911,f,4891.5529,691729.0,1181.6388,1173,30.4291,313160615207,262054077403241,2.34705754067693e+17,0.57361,0.61686,0.65065,,,,,,,,,,,,,,
150,911,f,4934.7488,1062733.0,1748.5802,1812,-99.4741,932195732410,1128203386244060,1.48532810686e+18,0.51687,0.56298,0.60006,,,,,,,,,,,,,,
151,911,f,4934.7488,691729.0,1181.6388,1173,30.4291,313160615207,262054077403241,2.34705754067693e+17,0.57361,0.61686,0.65065,,,,,,,,,,,,,,
152,912,m,4912.6757,1050717.0,1663.9251,1710,116.4902,1088526694415,1334247832756220,1.73617845161737e+18,0.59522,0.63327,0.66303,,,,,,,,,,,,,,
